"","sampleID","sample.mass","d15N","d13C","Amt.N","per.N","Amt.C","per.C"
"1","Onerka_LWA_01",0.5,12.6211,-30.7910634691854,0.067339176994424,0.134678353988848,0.272031995919336,0.544063991838672
"2","Onerka_LWA_02",0.448,15.0951,-31.6765350476823,0.0544628449058977,0.121568850236379,0.278707962920588,0.622115988662027
"3","Onerka_LWA_03",0.457,11.4941,-22.2086970424546,0.0690016337972074,0.150988257761942,0.252073746167885,0.551583689645263
"4","Onerka_LWA_04",0.43,10.9731,-23.8561005090592,0.051399591168037,0.119533932948923,0.266831369080549,0.620538067629183
"5","Onerka_LWA_05",0.467,14.3121,-28.9209359171602,0.0714199042942889,0.1529334139064,0.26533914376601,0.568178038042848
"6","Onerka_LWA_06",0.491,12.3521,-22.0120588955196,0.0525562277807004,0.107039160449492,0.19071943546305,0.388430622124338
"7","Onerka_LWA_07",0.488,11.8491,-22.5044402017517,0.0760931161990557,0.155928516801344,0.2714304623767,0.556209963886681
"8","Onerka_LWA_08",0.475,11.6941,-22.5431292157377,0.0713332398795073,0.150175241851594,0.255891901180615,0.53871979195919
"9","Onerka_LWA_09",0.436,11.3591,-22.0490227980981,0.0641850922833787,0.147213514411419,0.227199806518896,0.521100473667192
"10","Onerka_LWA_10",0.444,12.3491,-22.3382791930256,0.0578369239006196,0.130263342118513,0.217157362322893,0.489093158384894
"11","Onerka_LWA_11",0.465,11.3821,-22.3812168011474,0.0690532991214042,0.148501718540654,0.256482881503205,0.551576089254204
"12","Onerka_LWA_12",0.439,11.8571,-22.3837803652133,0.0587693996712034,0.133871069866067,0.208596590221382,0.47516307567513
"13","Onerka_LWA_13",0.481,12.4391,-22.7033529566758,0.0598860373231983,0.124503196098125,0.240517970217252,0.500037360119026
"14","Onerka_LWA_14",0.434,11.5651,-22.0396728879064,0.060241028099131,0.138804212209979,0.225483852939377,0.519548048247412
"15","Onerka_LWA_15",0.451,15.3531,-30.2004254577897,0.0650167373406107,0.144161280134392,0.251282254664417,0.55716686178363
"16","Onerka_LWA_16",0.469,11.8221,-22.100726361157,0.07335985388671,0.156417598905565,0.25781469787304,0.54971150932418
"17","Onerka_LWA_17",0.488,11.8231,-22.2775548689882,0.0702732674217927,0.144002597175805,0.282804722942539,0.579517874882252
"18","Onerka_LWA_18",0.475,11.2401,-21.4430015804578,0.0730356956429592,0.153759359248335,0.251244263072251,0.528935290678423
"19","Onerka_LWA_19",0.445,11.8111,-22.2756757257915,0.0664608664830788,0.149350261759728,0.236792683540929,0.532118389979615
"20","Onerka_LWA_20",0.455,13.6541,-30.2858443965588,0.0651808997416876,0.143254724707006,0.24212205966428,0.53213639486655
"21","Onerka_LWA_21",0.485,11.7061,-22.6524299290707,0.0679808269884808,0.140166653584496,0.265282156377761,0.546973518304661
"22","Onerka_LWA_22",0.487,12.8791,-21.5741389464741,0.0681491559479606,0.139936665190884,0.233618274951019,0.479708983472319
"23","Onerka_LWA_23",0.464,12.0011,-21.1524063115273,0.0679199952357975,0.14637930007715,0.231376771013198,0.498656834080167
"24","Onerka_LWA_24",0.444,11.6221,-21.5542899104619,0.0610301742606528,0.137455347433903,0.207437846660305,0.467202357343029
"25","Onerka_LWA_25",0.441,11.0701,-22.2627618981761,0.0667333594026327,0.151322810436809,0.23664704910429,0.536614623819253
"26","Onerka_LWA_26",0.51,13.3161,-30.2564895246451,0.0706799235219222,0.138588085337102,0.271153968011489,0.531674447081351
"27","Onerka_LWA_27",0.504,11.8101,-21.6447117789698,0.0626867978816721,0.12437856722554,0.22320013612137,0.442857412939227
"28","Onerka_LWA_28",0.494,12.3891,-21.4459341457428,0.0687808062018502,0.13923240121832,0.254021870588421,0.514214312932027
"29","Onerka_LWA_29",0.461,11.6891,-24.2295413800486,0.0502654539707497,0.10903569191052,0.314242765460291,0.681654588850956
"30","Onerka_LWA_30",0.483,10.9031,-22.092929811772,0.0737256777144904,0.152641154688386,0.263868024891564,0.546310610541541
